keywords,score
这棵榕树已枝繁叶茂,0.4258989691734314
东航遇难者家属目前已获赔1485万,0.2613101005554199
安徽淮南新增51例阳性,0.0472072958946228
一图了解道路交通违法记分新规,0.023070216178894043
上海疫情下的抢菜焦虑,0.3425135016441345
二十五二十一be,0.22702455520629883
豆瓣,0.020000576972961426
上海多家世纪华联店收高额配送费被顶格罚款,0.11066007614135742
北大食堂有多便宜又好吃,0.010992288589477539
23岁小伙离世捐献8个器官救9人,0.11103087663650513
蔡少芬当妈后十年没睡过整觉,0.10007071495056152
长沙疫情,0.45271772146224976
一梦江湖,0.03540456295013428
淮南疫情,0.23260784149169922
苏尚卿,0.03254508972167969
假如甄嬛传四大爷重生,0.0330502986907959
上海房东排队4小时买菜送3租客,0.26898807287216187
檀健次希望大家把自己和沈翊分开,0.11196476221084595
Doinb,0.33442044258117676
最懂事的芒果,0.1984148621559143
吉林本轮疫情感染者全部使用中医药治疗,0.06440043449401855
林之校含泪答应顾魏求婚,0.023369312286376953
四川乐山万只流萤飞舞,0.15309393405914307
杨洋4月有两部剧播出,0.012449085712432861
改良版MBTI测试,0.050350069999694824
27岁小伙长期吸烟致右脚血栓闭塞,0.31734955310821533
与君初相识预告,0.04183542728424072
袁一琦翻跳Tomboy,0.10600835084915161
上网课的真实写照,0.011379599571228027
浦东 外卖,0.42676228284835815
越长大快乐就一定越少吗,0.36824512481689453
dew直播,0.10089021921157837
爱的二八定律4月播出,0.09728151559829712
淮南牛肉汤加油,0.033458590507507324
神仙速冻早餐,0.1500147581100464
肯德基提供免费素材给盗图商家,0.048136234283447266
俄罗斯外长访问中国,0.1569017767906189
当隔离的时候没有准备够食材,0.3176848292350769
这大概就是婚姻最好的样子,0.20287346839904785
林彦俊新歌有声海报,0.013110041618347168
张峻豪首支原创单曲青春期,0.01182180643081665
刘彰加盟耳浪音乐节,0.06909191608428955
天官赐福广播剧,0.2604171633720398
张馨予问怎么领养退役搜救犬康康,0.025620877742767334
大熊猫平板支撑尾巴尖都在用劲,0.018221378326416016
父母恩爱对孩子有多重要,0.032431602478027344
九尾的不知火舞,0.49201875925064087
滔搏,0.19067531824111938
吴彤和宋亚轩唐九洲何运晨的第一张合影P掉自己,0.006449580192565918
卡塔尔世界杯官方用球公布,0.11585354804992676
负债百万小伙靠卖水泵实现逆袭,0.2181638479232788
时代出卷我们答卷人民阅卷,0.24274200201034546
吉林本轮疫情感染者全部使用中医药治疗,0.06440043449401855
北京通州一市场香蕉摊位环境检出阳性,0.3703031539916992
廊坊疾控称扑杀户内动物已停止,0.3503740429878235
新疆和硕新增20例无症状,0.14480674266815186
追爱家族全员可爱,0.012309908866882324
原来羽生的自拍是这么发给柳鑫宇的,0.09792095422744751
yooa,0.33737558126449585
上海辟谣浦东三林镇不给外地人发菜,0.46049702167510986
女生公交上摘口罩喝水遭司机辱骂,0.45181339979171753
星星不是只有抬头才看得到,0.19494712352752686
上海一居委会回应蔬菜藏起来不发,0.37436217069625854
长意霸总发言,0.3907647132873535
遇到开明的老师也太棒了吧,0.007812142372131348
罗昌平侮辱英烈案开庭,0.45255303382873535
美丽中国建设离不开每一个人的努力,0.03106027841567993
牡丹江疫情,0.18967843055725098
肖战说我一刻都不可以放松,0.25117266178131104
改良版MBTI测试,0.050350069999694824
TTG锁定季后赛,0.07414424419403076
廊坊安次区致歉,0.0946837067604065
主持人当老师有多好笑,0.4924076199531555
上海男子邀山东战友送10吨平价菜,0.2260017991065979
清清的马超,0.306471586227417
胡彦斌呼吁厂商易拉罐扣环往外开,0.33583611249923706
什么叫网络街溜子,0.07960689067840576
迪丽热巴纪云禾被困的日常,0.22204339504241943
柴犬的性格到底有多固执,0.08274340629577637
与君初相识,0.029868781566619873
喝茶真的能刮油减肥吗,0.36835700273513794
太空出差三人组回家倒计时,0.3518996238708496
TES战胜LNG,0.05005824565887451
牡丹江疫情,0.18967843055725098
yooa,0.33737558126449585
黑鲨5,0.062152087688446045
NCTDREAM新歌初舞台,0.01327580213546753
粉笔崩了,0.10001397132873535
王诗玥柳鑫宇相依为命16年,0.033979952335357666
林娜琏将solo出道,0.053274691104888916
易烊千玺王嘉尔白敬亭先生与少年主题大片,0.011339783668518066
中方回应可否成为俄乌和平协议担保方,0.4559497833251953
婆婆辅导作业气急要跳江幸被救回,0.22259241342544556
考研成功是什么体验,0.05545586347579956
侏罗纪世界3确认引进,0.010855257511138916
粉笔崩了,0.10001397132873535
男子被骗2万求助网友再被骗5千,0.08409321308135986
全职太太接手丈夫公司7年扩大一倍,0.06050604581832886
海贼王,0.019804060459136963
疫情无法隔离世间的美好,0.02138620615005493
镇海疫情,0.10906249284744263
迪丽热巴说什么时候才能离开仙师府,0.025821983814239502
上海一无症状感染者自述隔离点生活,0.11693686246871948
晕车到底是不是病,0.2108367681503296
外交部回应日本审批通过歪曲历史教科书,0.4301266670227051
中俄争取和平无上限,0.24740725755691528
12岁女生为偷玩手机画模型躲监控,0.30746060609817505
如何看待近百名货车司机隐瞒行程,0.41637539863586426
狗为什么要吃屎,0.13979393243789673
檀健次说没注意到喝奶歪头,0.4391345977783203
1岁女童店门口玩手机被陌生男子抢,0.2907226085662842
一条plog告别三月,0.35036391019821167
Ella说女孩不要被框架绑住,0.07963395118713379
国台办回应若两岸开战首战即终战,0.30684155225753784
廊坊扑杀阳性患者户内豢养动物,0.047698378562927246
赖在车上睡觉的猫咪,0.017135977745056152
00后女生请领导吃火锅被骂没诚意,0.37035679817199707
肖战顾魏各项技能大公开花絮视频,0.07435363531112671
海贼王,0.019804060459136963
必胜客门店因操作间食材过期被罚,0.08452069759368896
厦门报告新增本土确诊病例2例,0.05520671606063843
刘诗诗让大家听翟子路新歌过期,0.20069092512130737
LNG对战TES,0.08859914541244507
青春才不会被疫情束缚,0.02045738697052002
过度营销赢不来观众的心,0.2334842085838318
正确的恋爱观有多重要,0.02329123020172119
爆辣麻酱粉节子有多绝,0.35093027353286743
章丘确诊病例持三次核酸阴性报告返济,0.16012388467788696
密封雪花啤酒内出现金属柱状异物,0.11639547348022461
拉夫罗夫,0.15679872035980225
坠机现场发现十几本结婚证,0.37757283449172974
辽宁已查处隐瞒行程货车司机近百人,0.4344180226325989
空气炸锅做吐司有多惊喜,0.0848507285118103
凭什么把对的读音改成错的,0.11859786510467529
杭州小区裸背拍照网红道歉,0.2754017114639282
卫龙致歉,0.07253658771514893
济南市民纷纷买菜,0.07306993007659912
云裳羽衣,0.18151044845581055
上个网课被眼镜片出卖了,0.33293628692626953
法国男子质问马克龙燃料价格上涨,0.3018729090690613
海曙发现1例新冠肺炎初筛阳性,0.1487993597984314
当医学生的医术被质疑时,0.09550416469573975
直播不得通过虚假营销宣传等诱导打赏,0.03419303894042969
今天缅怀木里英雄,0.011541426181793213
斯里兰卡每日停电10小时,0.24583494663238525
13岁男孩为救重病妈妈和小姨送外卖,0.07300865650177002
这是文科生独有的快乐吧,0.09245491027832031
朴宰灿春日反差感大片,0.011806130409240723
研究发现喝无糖碳酸饮料更易发胖,0.15601444244384766
俄专家提醒警惕美国生物恐怖主义,0.28236252069473267
拉夫罗夫,0.15679872035980225
杭州外卖骑手为孤独症儿童办画展,0.10352343320846558
刘宇翻跳maniac视频,0.39780789613723755
春日初恋女友风穿搭,0.05081140995025635
专家夸易烊千玺演主旋律传递正向价值,0.013431906700134277
一名消防员在东航飞行事故处置现场的日记,0.09816873073577881
大侦探,0.01458585262298584
杨超越演的方向,0.013811051845550537
尼泊尔拒绝乌克兰禁俄罗斯登山队要求,0.3420684337615967
新中国成立以来全国1.6万余名民警牺牲,0.2993113398551941
鼻子痒眼睛痒都是花粉症典型症状,0.13963091373443604
这猫是颜控吧,0.24855762720108032
交通违法行为4月起这样扣分,0.4901283383369446
今年已有50名民警因公牺牲,0.1495271921157837
张子枫SuperELLE封面,0.033104658126831055
北京夺冠十周年,0.08130848407745361
肖战说第一次演爸爸需要很大的耐心,0.01322847604751587
上海市两地调整为低风险地区,0.21113044023513794
男子相亲被女方父亲发现有肝病,0.32264554500579834
浦东疫情,0.2183530330657959
白敬亭眼神故事感,0.010973989963531494
北京夺冠十周年,0.08130848407745361
NBA 保罗乔治,0.10444575548171997
王嘉尔新歌封面好野,0.011478900909423828
黄子韬宋祖儿手肘错位图,0.0960167646408081
影视剧中的废话文学大师们,0.02925729751586914
